run_accession	tissue/cell line	species
ERR489048	whole embryo	sheep
ERR489049	whole embryo	sheep
ERR489050	Hypothalamus	sheep
ERR489051	Hypothalamus	sheep
ERR489054	Pituitary gland	sheep
ERR489057	Pituitary gland	sheep
ERR489065	Cerebrum	sheep
ERR489066	Cerebrum	sheep
ERR489068	Cerebrum	sheep
ERR489069	Cerebrum	sheep
ERR489070	mammary gland	sheep
ERR489071	mammary gland	sheep
ERR489072	Ovarian follicles	sheep
ERR489073	Ovarian follicles	sheep
ERR489074	Ovary	sheep
ERR489075	Ovary	sheep
ERR489076	Peyer's patch	sheep
ERR489077	Peyer's patch	sheep
ERR489084	Rumen	sheep
ERR489085	Rumen	sheep
ERR489086	Omentum	sheep
ERR489087	Omentum	sheep
ERR489088	Caecum	sheep
ERR489090	Caecum	sheep
ERR489092	Colon	sheep
ERR489094	Colon	sheep
ERR489096	Rectum	sheep
ERR489097	Rectum	sheep
ERR489098	Uterus	sheep
ERR489099	Uterus	sheep
ERR489100	Cervix	sheep
ERR489101	Cervix	sheep
ERR489102	Thyroid gland	sheep
ERR489103	Thyroid gland	sheep
ERR489111	Lymph node prescapular	sheep
ERR489112	Lymph node prescapular	sheep
ERR489114	Lymph node prescapular	sheep
ERR489115	Lymph node prescapular	sheep
ERR489117	Muscle long dorsal	sheep
ERR489118	Muscle long dorsal	sheep
ERR489120	Muscle long dorsal	sheep
ERR489121	Muscle long dorsal	sheep
ERR489122	Muscle biceps	sheep
ERR489123	Muscle biceps	sheep
ERR489124	Muscle biceps	sheep
ERR489125	Muscle biceps	sheep
ERR489126	Muscle biceps	sheep
ERR489127	Muscle biceps	sheep
ERR489128	Adrenal Gland	sheep
ERR489129	Adrenal Gland	sheep
ERR489130	Skin back	sheep
ERR489131	Skin back	sheep
ERR489132	Spleen	sheep
ERR489133	Spleen	sheep
ERR489134	Mammary gland	sheep
ERR489135	Mammary gland	sheep
ERR489140	Ovary	sheep
ERR489141	Ovary	sheep
ERR489142	Pituitary	sheep
ERR489143	Pituitary	sheep
ERR489146	Cervix	sheep
ERR489147	Cervix	sheep
ERR489148	Cerebellum	sheep
ERR489150	Cerebellum	sheep
ERR489152	Peyer's patch	sheep
ERR489153	Peyer's patch	sheep
ERR489154	Abomasum	sheep
ERR489155	Abomasum	sheep
ERR489156	Abomasum	sheep
ERR489157	Abomasum	sheep
ERR489158	Abomasum	sheep
ERR489159	Abomasum	sheep
ERR489160	Rumen	sheep
ERR489161	Rumen	sheep
ERR489162	Rumen	sheep
ERR489163	Rumen	sheep
ERR489164	Rumen	sheep
ERR489165	Rumen	sheep
ERR489166	Omentum	sheep
ERR489167	Omentum	sheep
ERR489168	Colon	sheep
ERR489169	Colon	sheep
ERR489170	Colon	sheep
ERR489171	Colon	sheep
ERR489172	Colon	sheep
ERR489173	Colon	sheep
ERR489176	Rectum	sheep
ERR489179	Rectum	sheep
ERR489180	Uterus	sheep
ERR489181	Uterus	sheep
ERR489182	Thyroid gland	sheep
ERR489183	Thyroid gland	sheep
ERR489184	Lymph node mesenteric	sheep
ERR489186	Lymph node mesenteric	sheep
ERR489188	Muscle long dorsal	sheep
ERR489189	Muscle long dorsal	sheep
ERR489190	Muscle biceps	sheep
ERR489191	Muscle biceps	sheep
ERR489192	Skin side	sheep
ERR489193	Skin side	sheep
ERR489194	Adrenal gland	sheep
ERR489195	Adrenal gland	sheep
ERR489196	Alveolar macrophages	sheep
ERR489197	Alveolar macrophages	sheep
ERR489198	Hypothallamus	sheep
ERR489199	Hypothallamus	sheep
ERR489200	Pituitary gland	sheep
ERR489201	Pituitary gland	sheep
ERR489202	Abomasum mucosa	sheep
ERR489203	Abomasum mucosa	sheep
ERR489204	Rumen	sheep
ERR489205	Rumen	sheep
ERR489206	Duodenum	sheep
ERR489207	Duodenum	sheep
ERR489208	Omentum	sheep
ERR489209	Omentum	sheep
ERR489210	Caecum	sheep
ERR489211	Caecum	sheep
ERR489212	Colon	sheep
ERR489213	Colon	sheep
ERR489214	Rectum	sheep
ERR489215	Rectum	sheep
ERR489216	Brain cerebellum	sheep
ERR489217	Brain cerebellum	sheep
ERR489218	Brain cerebrum	sheep
ERR489219	Brain cerebrum	sheep
ERR489220	Brain stem	sheep
ERR489221	Brain stem	sheep
ERR489222	Testes	sheep
ERR489223	Testes	sheep
ERR489224	Testes epididymis	sheep
ERR489226	Testes epididymis	sheep
ERR489228	Lymph node mesenteric	sheep
ERR489229	Lymph node mesenteric	sheep
ERR489234	Adrenal gland	sheep
ERR489236	Adrenal gland	sheep
ERR489238	Thyroid gland	sheep
ERR489240	Thyroid gland	sheep
ERR489246	Muscle biceps	sheep
ERR489247	Muscle biceps	sheep
ERR489248	Skin back	sheep
ERR489249	Skin back	sheep
ERR489250	Spleen	sheep
ERR489251	Spleen	sheep
ERR489252	Alveolar macrophages	sheep
ERR489254	Alveolar macrophages	sheep
ERR489256	Tonsil	sheep
ERR489257	Tonsil	sheep
ERR489258	Ventricle	sheep
ERR489259	Ventricle	sheep
ERR489260	Kidney cortex	sheep
ERR489261	Kidney cortex	sheep
ERR489262	Kidney medulla	sheep
ERR489263	Kidney medulla	sheep
ERR489264	Liver	sheep
ERR489265	Liver	sheep
ERR489266	Lung	sheep
ERR489267	Lung	sheep
ERR489268	Heart vertricle	sheep
ERR489269	Heart vertricle	sheep
ERR489270	Kidney medulla	sheep
ERR489271	Kidney medulla	sheep
ERR489272	Liver	sheep
ERR489273	Liver	sheep
ERR489274	Lung	sheep
ERR489275	Lung	sheep
ERR489276	Ventricle	sheep
ERR489277	Ventricle	sheep
ERR489278	Kidney cortex	sheep
ERR489279	Kidney cortex	sheep
ERR489280	Kidney medulla	sheep
ERR489281	Kidney medulla	sheep
ERR489282	Lung	sheep
ERR489283	Lung	sheep
SRR2016819	rumen papillae - stomach	sheep
SRR2016820	rumen papillae - stomach	sheep
SRR4252313	conceptus - embryos	sheep
SRR4252314	conceptus - embryos	sheep
SRR4252315	conceptus - embryos	sheep
SRR4252316	conceptus - embryos	sheep
SRR4252317	conceptus - embryos	sheep
SRR4252318	conceptus - embryos	sheep
SRR4252319	conceptus - embryos	sheep
